PLCTAG_CoefficienteGrossaChiusoA2_Kg                            plc4/db5.dbd752:real
PLCTAG_CoefficienteGrossaChiusoA3_Kg                            plc4/db5.dbd756:real
PLCTAG_CoefficienteGrossaChiusoA4_Kg                            plc4/db5.dbd760:real
PLCTAG_CoefficienteGrossaChiusoA5_Kg                            plc4/db5.dbd764:real
PLCTAG_CoefficienteGrossaChiusoA6_Kg                            plc4/db5.dbd768:real
PLCTAG_CoefficienteGrossaChiusoRAP_Kg                           plc4/db5.dbd772:real
PLCTAG_CoefficienteGrossaChiusoNV_Kg                            plc4/db5.dbd776:real
PLCTAG_MaxValKgAquablack                                        plc4/db5.dbd1264:real
PLCTAG_DI_PortinaAggChiusa                                      plc4/db46.dbx0.0:bool     PLCTAG_INOUT
PLCTAG_DI_PortinaAggAperta                                      plc4/db46.dbx0.1:bool
PLCTAG_DI_SicAggregati                                          plc4/db46.dbx0.2:bool
PLCTAG_DI_AbilitaAggregati                                      plc4/db46.dbx0.3:bool
PLCTAG_DO_PesataAgg1                                            plc4/db46.dbx0.4:bool
PLCTAG_DO_PesataAgg2                                            plc4/db46.dbx0.5:bool
PLCTAG_DO_PesataAgg3                                            plc4/db46.dbx0.6:bool
PLCTAG_DO_PesataAgg4                                            plc4/db46.dbx0.7:bool
PLCTAG_DO_PesataAgg5                                            plc4/db46.dbx1.0:bool
PLCTAG_DO_PesataAgg6                                            plc4/db46.dbx1.1:bool
PLCTAG_DO_PesataAgg7                                            plc4/db46.dbx1.2:bool
PLCTAG_DO_PesataAgg8                                            plc4/db46.dbx1.3:bool
PLCTAG_DO_PesataAgg9                                            plc4/db46.dbx1.4:bool
PLCTAG_DO_PesataAggNV                                           plc4/db46.dbx1.5:bool
PLCTAG_DO_ScaricoAggregati_Vers8_2                              plc4/db46.dbx1.6:bool
PLCTAG_AI_BilanciaAggregati                                     plc4/db46.dbw2:word
PLCTAG_DO_PesataEXTAgg1                                         plc4/db46.dbx6.0:bool
PLCTAG_DO_PesataEXTAgg2                                         plc4/db46.dbx6.1:bool
PLCTAG_DO_PesataEXTAgg3                                         plc4/db46.dbx6.2:bool
PLCTAG_DO_PesataEXTAgg4                                         plc4/db46.dbx6.3:bool
PLCTAG_DO_PesataEXTAgg5                                         plc4/db46.dbx6.4:bool
PLCTAG_DO_PesataEXTAgg6                                         plc4/db46.dbx6.5:bool
PLCTAG_DO_PesataEXTAggNV                                        plc4/db46.dbx6.6:bool
PLCTAG_DO_PesataEXTAggNV2                                       plc4/db46.dbx6.7:bool
PLCTAG_DO_PesataEXTAgg7                                         plc4/db46.dbx7.0:bool     RAP nel vaglio quando c'è
PLCTAG_ScambioPesataTramoggione                                 plc4/db46.dbw8:int
PLCTAG_DI_PortFillBil1Ch                                        plc4/db46.dbx22.0:bool    FC scarico bilancia filler
PLCTAG_DI_PortFillBil1Ap                                        plc4/db46.dbx22.1:bool    FC scarico bilancia filler
