Lista tags in wamfoam
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
IpompaBSoftAvanti_idx                                           |  I  |Stato della pompa del bitume: accesa avanti
IpompaBSoftIndietro_idx                                         |  I  |Stato della pompa del bitume: accesa indietro
IvalvImmissBSoftON_idx                                          |  I  |Stato della valvola di immissione del bitume: aperta
IvalvImmissBSoftOFF_idx                                         |  I  |Stato della valvola di immissione del bitume: chiusa
DosaggioInCorsoBSoft_idx                                        |  O  |Procedura di dosaggio in corso
ManValvBSoft_idx                                                |  O  |Comando manuale della valvola bitume
ManPompaBSoft_idx                                               |  O  |Comando manuale della pompa bitume
ManPompaBSoftIndietro_idx                                       |  O  |Comando manuale della pompa bitume indietro
ManValvImmissioneBSoft_idx                                      |  O  |Comando manuale della valvola immissione bitume
BSoftAperto_idx                                                 |  O  |Segnalazione di bitume aperto
AbortCicloBsoft_idx                                             |  O  |Interruzione del ciclo
abilitabitumesoft_idx                                           |  O  |Bitume SOFT gestito dal PLC Schiumato
StepBSoft_idx                                                   |  O  |Passo di dosaggio del bitume
PercentualeBSoft_idx                                            |  O  |Percentuale di dosaggio del bitume
SetImpulsiBSoft_idx                                             |  O  |Numero di impulsi calcolati in base al peso inerti
ConteggioImpulsiBSoft_idx                                       |  I  |Numero di impulsi conteggiati
MinPesoAggregatiBSoft_idx                                       |  O  |Minimo peso degli aggregati (allarme se inferiore)
MinTemperaturaBSoft_idx                                         |  O  |Minima temperatura del bitume (allarme se inferiore)
MaxTemperaturaBSoft_idx                                         |  O  |Massima temperatura del bitume (allarme se superiore)
MinPressioneBSoft_idx                                           |  O  |Minima pressione del bitume (allarme se inferiore)
MaxPressioneBSoft_idx                                           |  O  |Massima pressione del bitume (allarme se superiore)
RitardoAvvioCicloBSoft_idx                                      |  O  |Ritardo all'avvio del ciclo (dallo scarico aggregati)
RitardoAvvioCicloBSoft_ET_idx                                   |  O  |Ritardo avvio ciclo tempo trascorso
TempoValvBSoft_idx                                              |  O  |Timeout comando di apertura/chiusura della valvola del bitume
TempoPompaBSoft_idx                                             |  O  |Timeout accensione/spegnimento della pompa del bitume
TempoValvImmissBSoft_idx                                        |  O  |Timeout comando di apertura/chiusura valvola immissione bitume
TempoBassaTempBSoft_idx                                         |  O  |Timeout bassa temperatura del bitume
TempoImpulsiBSoft_idx                                           |  O  |Timeout nella sequenza degli impulsi del bitume
TolleranzaSoft_idx                                              |  O  |Tolleranza sulla pesata
NettoBitumeSoft_idx                                             |  O  |Netto bitume Soft in Kg
NumeroImpulsiKgSoft_idx                                         |  O  |1/Numero di impulsi per Kg
VelocitaInverterSoft_idx                                        |  I  |Velocità inverter
ValoreAnalogico0..15_idx                                        |  O  |
DO_Pompa_Soft_Comando_idx                                       |  O  |
DI_Pompa_Soft_Ritorno_idx                                       |  O  |
DI_Pompa_Soft_Termica_idx                                       |  O  |
DO_Pompa_Soft_Comando_Inversione_idx                            |  O  |
DI_Pompa_Soft_Ritorno_Inversione_idx                            |  I  |
ValoreDigitale0..5_idx                                          |  O  |
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
