CistTAG_Bitume_InclusioneContalitri                                               plc2/db5.dbx0.7:bool CistTAG_PARAMETRI
CistTAG_Combustibile_SetTempCisterna2                                             plc2/db8.dbd710:real
CistTAG_Combustibile_SetTempCisterna3                                             plc2/db8.dbd714:real
CistTAG_Combustibile_SetTempCisterna4                                             plc2/db8.dbd718:real
CistTAG_Combustibile_SetTempCisterna5                                             plc2/db8.dbd722:real
CistTAG_Combustibile_SetTempCisterna6                                             plc2/db8.dbd726:real
CistTAG_Combustibile_SetTempCisterna7                                             plc2/db8.dbd730:real
CistTAG_Combustibile_SetTempCisterna8                                             plc2/db8.dbd734:real
CistTAG_Combustibile_SetTempCisterna9                                             plc2/db8.dbd738:real
CistTAG_Combustibile_SetTempCisterna10                                            plc2/db8.dbd742:real
CistTAG_Combustibile_DO_BoostOlioCisterna1                                        plc2/db8.dbx746.0:bool
CistTAG_Combustibile_DO_BoostOlioCisterna2                                        plc2/db8.dbx746.1:bool
CistTAG_Combustibile_DO_BoostOlioCisterna3                                        plc2/db8.dbx746.2:bool
CistTAG_Combustibile_DO_BoostOlioCisterna4                                        plc2/db8.dbx746.3:bool
CistTAG_Combustibile_DO_BoostOlioCisterna5                                        plc2/db8.dbx746.4:bool
CistTAG_Combustibile_DO_BoostOlioCisterna6                                        plc2/db8.dbx746.5:bool
CistTAG_Combustibile_DO_BoostOlioCisterna7                                        plc2/db8.dbx746.6:bool
CistTAG_Combustibile_DO_BoostOlioCisterna8                                        plc2/db8.dbx746.7:bool
CistTAG_Combustibile_DO_BoostOlioCisterna9                                        plc2/db8.dbx747.0:bool
CistTAG_Combustibile_DO_BoostOlioCisterna10                                       plc2/db8.dbx747.1:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna1                                      plc2/db8.dbx788.0:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna2                                      plc2/db8.dbx788.1:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna3                                      plc2/db8.dbx788.2:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna4                                      plc2/db8.dbx788.3:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna5                                      plc2/db8.dbx788.4:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna6                                      plc2/db8.dbx788.5:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna7                                      plc2/db8.dbx788.6:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna8                                      plc2/db8.dbx788.7:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna9                                      plc2/db8.dbx789.0:bool
CistTAG_Combustibile_DI_SicRiscValvCisterna10                                     plc2/db8.dbx789.1:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna1                                     plc2/db8.dbx790.0:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna2                                     plc2/db8.dbx790.1:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna3                                     plc2/db8.dbx790.2:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna4                                     plc2/db8.dbx790.3:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna5                                     plc2/db8.dbx790.4:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna6                                     plc2/db8.dbx790.5:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna7                                     plc2/db8.dbx790.6:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna8                                     plc2/db8.dbx790.7:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna9                                     plc2/db8.dbx791.0:bool
CistTAG_Combustibile_DI_SicRiscBoostCisterna10                                    plc2/db8.dbx791.1:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna1                                      plc2/db8.dbx792.0:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna2                                      plc2/db8.dbx792.1:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna3                                      plc2/db8.dbx792.2:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna4                                      plc2/db8.dbx792.3:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna5                                      plc2/db8.dbx792.4:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna6                                      plc2/db8.dbx792.5:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna7                                      plc2/db8.dbx792.6:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna8                                      plc2/db8.dbx792.7:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna9                                      plc2/db8.dbx793.0:bool
CistTAG_Combustibile_DI_TermicaRiscCisterna10                                     plc2/db8.dbx793.1:bool
CistTAG_Bitume_ValvoleGestioneManuale_ZZZ                                         plc2/db9.dbx0.0:bool CistTAG_ScambioPC_Bitume    DB9.DBX0.0
CistTAG_Bitume_ArrestoEmergenzaValvole                                            plc2/db9.dbx0.1:bool DB9.DBX0.1
CistTAG_Bitume_DI_PompaCircLegante                                                plc2/db9.dbx0.2:bool DB9.DBX0.2
CistTAG_CONTALITRI_ATTIVAZIONE                                                    plc2/db9.dbx0.3:bool
CistTAG_Bitume_Watchdog                                                           plc2/db9.dbx1.1:bool DB9.DBX1.1
CistTAG_Bitume_ForzaOperazioneSuAllarme_ZZZ                                       plc2/db9.dbx1.2:bool DB9.DBX1.2
CistTAG_Bitume_AckAllarme                                                         plc2/db9.dbx1.3:bool DB9.DBX1.3
CistTAG_Bitume_DB9_DBX14                                                          plc2/db9.dbx1.4:bool DB9.DBX1.4         Mauro 20110719 liberati
CistTAG_Bitume_DI_PompaCircLegante2                                               plc2/db9.dbx1.5:bool DB9.DBX1.5
CistTAG_Bitume_NumeroCisterne                                                     plc2/db5.dbw2:int    DB5.DBW2
CistTAG_Bitume_NumeroCisternaDefault                                              plc2/db9.dbw4:int    DB9.DBW4
CistTAG_Bitume_CodiceOperazione_1                                                 plc2/db9.dbw6:int    DB9.DBW6
