Lista tags in plc2
sono stati raggruppati i tags  (vedi nmin..nmax)
----------------------------------------------------------------+-----+-----------------------------------------------------------------------------------
Nome tag                                                        | I/O |Descrizione
CistTAG_Combustibile_Valvola_0..9_Codice_Allarme                |  O  |
CistTAG_Combustibile_Valvola_0..9_OUT_Tempo_AP                  |  O  |
CistTAG_Combustibile_Valvola_0..9_OUT_Tempo_CH                  |  O  |
CistTAG_Combustibile_Valvola_0..9_NR_Operazioni_Apertura        |  O  |
CistTAG_Combustibile_Valvola_0..9_NR_Operazioni_Chiusura        |  O  |
CistTAG_Bitume_Cisterna1..10_Agitatore_CmdAvvio                 |  O  |
CistTAG_Bitume_Cisterna1..10_Agitatore_Ritorno                  |  O  |
CistTAG_Bitume_Cisterna1..10_AbilitazioneAgitatore              |  O  |
CistTAG_Bitume_Cisterna1..10_PID_GAIN                           |  O  |
CistTAG_Bitume_Cisterna1..10_PID_TI                             |  O  |
CistTAG_Bitume_Cisterna1..10_PID_TD                             |  O  |
CistTAG_Bitume_Cisterna1..10_PID_ControlZone                    |  O  |
CistTAG_Mixer_PID_GAIN                                          |  O  |
CistTAG_Mixer_PID_TI                                            |  O  |
CistTAG_Mixer_PID_TD                                            |  O  |
CistTAG_Mixer_PID_ControlZone                                   |  O  |
CistTAG_Pannello_OperazioneBitumeCarico                         |  O  |
CistTAG_Pannello_OperazioneBitume                               |  O  |
CistTAG_Pannello_OperazioneEmulsione                            |  O  |
CistTAG_Pannello_ComandoAuxIncluso_1..8                         |  O  |
CistTAG_Sel_turni_settim_giorn                                  |  O  |
CistTAG_Stato_LED_CALDAIA1..2                                   |  O  |
CistTAG_Bitume_Cisterna1..10_TipoLivello                        |  O  |
CistTAG_Bitume_Cisterna1..10_BloccoValvoleBassaTemperatura      |  O  |
CistTAG_Bitume_Cisterna1..10_InclusioneAgitatore                |  O  |
CistTAG_Bitume_Cisterna1..10_TempUnitaLimiteInf                 |  O  |
CistTAG_Bitume_Cisterna1..10_TempUnitaLimitesup                 |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloUnitaLimiteInf              |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloUnitaLimiteSup              |  O  |
CistTAG_Bitume_Cisterna1..10_Densita                            |  O  |
CistTAG_Bitume_Cisterna1..10_TempGradiLimiteInf                 |  O  |
CistTAG_Bitume_Cisterna1..10_TempGradiLimiteSup                 |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloTonLimiteInf                |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloTonLimiteSup                |  O  |
CistTAG_Bitume_Cisterna1..10_TempGradiAllarmeMin                |  O  |
CistTAG_Bitume_Cisterna1..10_TempGradiAllarmeMax                |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloTonAllarmeMin               |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloTonAllarmeMax               |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloTonAllarmeZonaMorta         |  O  |
CistTAG_Bitume_Cisterna1..10_TempGradiAllarmeZonaMorta          |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloMin_DI_Trigger              |  I  |
CistTAG_Bitume_Cisterna1..10_LivelloMax_DI_Trigger              |  I  |
CistTAG_Bitume_Cisterna1..10_LivelloSic_DI_Trigger              |  I  |
CistTAG_Bitume_Cisterna1..10_LivelloPercentualeValore           |  O  |
CistTAG_Bitume_Cisterna1..10_LivelloTonValore                   |  O  |
CistTAG_Bitume_Cisterna1..10_TempGradiValore                    |  O  |
CistTAG_Bitume_Cisterna1..10_AllarmeCodiceGen                   |  O  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2InverteComando       |  O  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2TempoTimeOutOpen     |  O  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2TempoTimeOutClose    |  O  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2TempoAntirimbalzoFC  |  O  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2Open_DI_Trigger      |  I  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2Close_DI_Trigger     |  I  |
CistTAG_Bitume_Cisterna1..10_ValvUscita1..2AllarmeCodice        |  O  |
CistTAG_Bitume_Cisterna1..10_DI_ValvRitornoBloccoTemp           |  I  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2InverteComando      |  O  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2TempoTimeOutOpen    |  O  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2TempoTimeOutClose   |  O  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2TempoAntirimbalzoFC |  O  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2Open_DI_Trigger     |  I  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2Close_DI_Trigger    |  I  |
CistTAG_Bitume_Cisterna1..10_ValvEntrata1..2AllarmeCodice       |  O  |
CistTAG_Bitume_Cisterna1..10_DI_ValvCaricoBloccoTemp            |  I  |
CistTAG_Bitume_Cisterna1..10_DI_ValvAuxBloccoTemp               |  I  |
CistTAG_Bitume_Cisterna1..10_NumeroValvolePresenti              |  O  |
CistTAG_Bitume_Cisterna1..10_AbilitaOrizzontale                 |  O  |
CistTAG_Bitume_Cisterna1..10_DiametroMm                         |  O  |
CistTAG_Bitume_Cisterna1..10_LunghezzaMm                        |  O  |
CistTAG_Bitume_Cisterna1..10_AbilitaValvolaMandata              |  O  |
CistTAG_Bitume_Cisterna1..10_AbilitaValvolaRitorno              |  O  |
CistTAG_Bitume_Cisterna1..10_AbilitaValvolaCarico               |  O  |
CistTAG_Bitume_Cisterna1..10_AbilitaValvolaAux                  |  O  |
CistTAG_Emulsione_Cisterna1..10_TipoLivello                     |  O  |
CistTAG_Emulsione_Cisterna1..10_BloccoValvoleBassaTemperatura   |  O  |
