 plcname |                           basename1                            |                  basename2                   |       basename3        | num | start2 | end2 | start2 | end2 | start3 | end3 
 plc2    | CistTAG_Bitume_DB9_DBW10                                       |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBW28                                       |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBW36                                       |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX14                                       |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX400                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX401                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX404                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX405                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX406                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX407                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX410                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX411                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX412                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX413                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX540                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX541                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX542                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX543                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX544                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX545                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX546                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX547                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DB9_DBX550                                      |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DI_AriaImpiantoCisterneOK                       |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DI_Compressore                                  |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DI_PompaCircLegante                             |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DI_PompaCircLegante2                            |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_DI_SicRiscBoostCisterna                         |                                              |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_DI_SicRiscValvCisterna                          |                                              |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_DI_TermicaRiscCisterna                          |                                              |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_DO_BoostOlioCisterna                            |                                              |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_DO_ValvOlioCisterna                             |                                              |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_ForzaOperazioneSuAllarme_ZZZ                    |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_InclusioneContalitri                            |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_NumeroCisterna4Valvole                          |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_NumeroCisternaDefault                           |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_NumeroCisterne                                  |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_SetTempCisterna                                 |                                              |                        |  10 |      1 |   10 |        |      |        |     
 plc2    | CistTAG_Bitume_TempMinCircuito                                 |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_TempMinConsensoStartPompaCarico                 |                                              |                        |     |        |      |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _CMD_Valvola                                 |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _Codice_Allarme                              |                        |  26 |      0 |   25 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _DI_Apertura                                 |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _DI_Blocco_Temperatura                       |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _DI_Chiusura                                 |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _FC_Valvola_Aperta                           |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _FC_Valvola_Chiusa                           |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _NR_Operazioni_Apertura                      |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _NR_Operazioni_Chiusura                      |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _OUT_Tempo_AP                                |                        |  23 |      0 |   22 |        |      |        |     
 plc2    | CistTAG_Bitume_Valvola_                                        | _OUT_Tempo_CH                                |                        |  23 |      0 |   22 |        |      |        |     
